"District Code","Building Code","Type","CHARTCD","CHARTNAME","ISD","City Code","Geoloc","Building Name","ADDR1","ADDR2","CITY1","CITY2","ZIP1","ZIP2","COMNAME","GRADESET","MAGNET","REGCFG","EIN","NCES","FUNCTION","RELORIENT","LNAME","FNAME","MIDINIT","HONORIFIC","ADASSIGN","TELEPHONE","FAX","EMAIL","WEBADDR","OPENDATE","CLOSEDATE","STATUS","OWNERSHIP","HDCOUNT","HISTORY","GRADESTR"
"03000","00000","02",,,"03","03",,"Allegan Area Educational Service Agency","310 THOMAS ST","310 THOMAS ST","ALLEGAN","ALLEGAN","49010-9158","49010-9158","Allegan Area ESA",,,,,"2680100",,,"Dobias","Mark","R","Mr.","01","2696732161","2696730339","superintendent@alleganaesa.org",,"01/01/1900",,"01","01","F",,"KG-Part,1-12, AdultEd, Alt, Delinq, GenEd, JuvDtn,"
"04000","00000","02",,,"04","04",,"Alpena-Montmorency-Alcona ESD","2118 US HIGHWAY 23 S","2118 US HIGHWAY 23 S","ALPENA","ALPENA","49707-4542","49707-4542","A-M-A ESD",,,,,"2680120",,,"Wilmot","Brian",,"Mr.","01","9893543101","9893563385","wilmotb@amaesd.k12.mi.us",,"01/01/1900",,"01","01","F",,", AdultEd, Alt, GenEd, PK, RCCI, SchlChoice, SpecE"
"08000","00000","02",,,"08","08",,"Barry ISD","535 WEST WOODLAWN AVE","535 WEST WOODLAWN AVE","HASTINGS","HASTINGS","49058-1038","49058-1038","Barry ISD",,,,,"2680140",,,"Jennette","Jeffrey","T","Mr.","01","2699459545","2699452575","JJennette@barryisd.org","www.barryisd.org","01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, GenE"
"09000","00000","02",,,"09","09",,"Bay-Arenac ISD","4228 2 MILE RD","4228 2 MILE RD","BAY CITY","BAY CITY","48706-2324","48706-2324","Bay-Arenac ISD",,,,,"2680504",,,"Dewey","Michael","R","Mr.","01","9896864410","9896673286","deweym@baisd.net","www.baisd.net","01/01/1900",,"01","01","F",,"KG,KG-Part,1-12, AdultEd, Alt, BSAS, GenEd, OSTime"
"11000","00000","02",,,"11","11",,"Berrien RESA","711 SAINT JOSEPH AVE","711 SAINT JOSEPH AVE","BERRIEN SPRINGS","BERRIEN SPRINGS","49103-1583","49103-1583","Berrien ISD",,,,,"2680160",,,"Ivers","Kevin","M","Dr.","03","2694717725","2694712941","kevin.ivers@berrienresa.org",,"01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, GenE"
"12000","00000","02",,,"12","12",,"Branch ISD","370 MORSE ST","370 MORSE ST","COLDWATER","COLDWATER","49036-1480","49036-1480","Branch ISD",,,,,"2680180",,,"Lopez","Joseph","M","Mr.","01","5172795730","5172795766","lopezj@branch-isd.org",,"01/01/1900",,"01","01","F",,"KG,1-12, AdultEd, Alt, GenEd, PK, SchlChoice, Spec"
"13000","00000","02",,,"13","13",,"Calhoun ISD","17111 G DR N","17111 G DR N","MARSHALL","MARSHALL","49068-9621","49068-9621","Calhoun ISD",,,,,"2680200",,,"Lunger","Terance",,"Dr.","01","2697815141","2697817071","lungert@calhounisd.org","www.calhounisd.org","01/01/1900",,"01","01","F",,"KG,1-12, 21CCL, AdultEd, Alt, Boarding, BSAS, GenE"
"14000","00000","02",,,"14","14",,"Lewis Cass ISD","61682 DAILEY RD","61682 DAILEY RD","CASSOPOLIS","CASSOPOLIS","49031-9648","49031-9648","Lewis Cass ISD",,,,,"2680220",,,"Colby","Robert",,"Mr.","01","2694456204","2694452981","rcolby@lewiscassisd.org",,"01/01/1900",,"01",,"F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, GenE"
"15000","00000","02",,,"15","15",,"Charlevoix-Emmet ISD","8568 MERCER RD","8568 MERCER RD","CHARLEVOIX","CHARLEVOIX","49720-1006","49720-1006","Charlevoix-Emmet",,,,,"2680240",,,"Diebold","Richard",,"Dr.","01","2315479947","2315475621","chapmand@charemisd.org","www.charemisd.org","01/01/1900",,"01","01","F",,"KG,1-12, 21CCL, Alt, BSAS, GenEd, OSTime, PK, Schl"
"16000","00000","02",,,"16","16",,"Cheb-Otsego-Presque Isle ESD","6065 LEARNING LN","6065 LEARNING LN","INDIAN RIVER","INDIAN RIVER","49749-9357","49749-9357","C.O.P. ESD",,,,,"2680260",,,"Vratanina","Mary",,"Mrs.","01","2312389394","2312388551","mvrat@copesd.org","www.copesd.org","07/01/1972",,"01","01","F",,", Alt, BSAS, FamResCtr, GenEd, PK, RCCI, SchlChoic"
